scorer,DLC_resnet101_multipointsFeb7shuffle1_26000.3,DLC_resnet101_multipointsFeb7shuffle1_26000.4,DLC_resnet101_multipointsFeb7shuffle1_26000.5,DLC_resnet101_multipointsFeb7shuffle1_26000.9,DLC_resnet101_multipointsFeb7shuffle1_26000.10,DLC_resnet101_multipointsFeb7shuffle1_26000.11,DLC_resnet101_multipointsFeb7shuffle1_26000.39,DLC_resnet101_multipointsFeb7shuffle1_26000.40,DLC_resnet101_multipointsFeb7shuffle1_26000.41,DLC_resnet101_multipointsFeb7shuffle1_26000.42,DLC_resnet101_multipointsFeb7shuffle1_26000.43,DLC_resnet101_multipointsFeb7shuffle1_26000.44,DLC_resnet101_multipointsFeb7shuffle1_26000.45,DLC_resnet101_multipointsFeb7shuffle1_26000.46,DLC_resnet101_multipointsFeb7shuffle1_26000.47
bodyparts,bodypart2,bodypart2,bodypart2,bodypart4,bodypart4,bodypart4,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
36,1161.236328,688.7301025,0.934216142,1194.318481,636.8138428,0.823426723,1183.309204,689.3455811,0.64909941,1165.900146,693.6397095,0.021106489,743.4112549,214.7258606,0.044650096
37,1160.000488,688.5823975,0.938507617,1194.084961,637.239563,0.838533103,1182.045288,689.6196289,0.642822444,1165.574829,693.8972778,0.020141954,743.1882935,214.4749603,0.040532161
38,1159.357788,689.1395874,0.937332571,1193.152832,637.1807251,0.8514148,1181.037231,690.1954346,0.620968997,1164.654541,723.6242676,0.022584699,743.1994019,214.5195618,0.039648779
39,1158.29126,688.913147,0.942317009,1193.110596,637.237854,0.853009343,1180.033081,690.3048706,0.611821115,1164.381592,723.9693604,0.023464166,743.0784302,214.5461578,0.038353946
40,1157.074097,689.1592407,0.938238442,1191.42334,637.5523682,0.853950799,1178.361938,690.4068604,0.560765743,1163.80957,724.2294922,0.023117024,743.0162964,214.5722351,0.037501778
41,1155.901489,689.7995605,0.933982015,1191.220337,637.0808105,0.86781925,1173.39917,689.1727295,0.56191951,1163.348633,724.6759644,0.024921851,743.001709,214.6527557,0.036486231
42,1154.903809,690.3477783,0.925169706,1191.109619,637.3455811,0.858495474,1172.569458,690.4638062,0.629728973,1162.739624,724.8261719,0.025717882,743.0319824,214.6575317,0.037792284
43,1153.406616,690.6652832,0.910400927,1190.544556,637.5352783,0.863184988,1172.628784,690.7711182,0.655633092,1162.385254,724.3467407,0.021606678,743.1314697,214.7664185,0.039341208
44,1152.296021,690.9465332,0.898471594,1189.011841,637.333313,0.86539495,1172.282471,691.9644165,0.672147751,1153.680786,704.0145264,0.023683123,743.1536865,214.7462158,0.039689705
45,1148.136597,691.0612793,0.907509029,1188.814087,637.5279541,0.867316306,1171.960205,692.1851807,0.707806468,1152.698853,704.3639526,0.025686156,743.1853027,214.8047791,0.040660828
46,1147.307129,691.4859009,0.927973032,1188.205566,637.6928101,0.866741717,1171.446899,692.8674927,0.706580698,1152.0177,704.5372314,0.021491513,743.1980591,214.804184,0.041852273
47,1146.369507,691.9017334,0.930963516,1188.192749,638.0897217,0.875166297,1170.325073,693.0390015,0.680095494,1140.633789,705.0745239,0.020516438,743.1821899,214.832901,0.040067658
48,1145.461426,692.1375732,0.935826659,1187.015991,638.1359863,0.851247549,1168.098999,693.2105103,0.629734814,1150.490112,704.3978271,0.020785609,743.0872192,214.9465027,0.04080724
49,1144.410522,692.8876343,0.94148922,1190.227295,639.5021362,0.834593773,1166.99231,693.3945313,0.64956218,746.8150024,217.7769623,0.018943161,743.2314453,214.8819275,0.042522874
50,1143.577393,693.0841675,0.942942202,1189.752686,639.9150391,0.850937188,1165.192017,692.928894,0.637059331,1160.099854,724.6134644,0.022805167,743.1611938,214.9221802,0.04169732
51,1142.402588,691.7582397,0.945553899,1188.314575,641.0913086,0.838928223,1164.069702,692.6169434,0.6479581,1139.688599,705.3245239,0.019872501,743.0977173,214.8606873,0.040279258
52,1140.304199,691.5213013,0.934173703,1186.989868,641.6067505,0.810485482,1162.562134,692.7913818,0.588076413,1139.117554,704.8952637,0.022813296,743.1470337,214.8375854,0.040722907
53,1138.476807,691.5019531,0.929566205,1188.408569,640.4834595,0.821014881,1158.247559,691.5144653,0.642701268,1138.493286,704.4226074,0.026946504,743.1231689,214.8257751,0.037236113
54,1136.589966,691.6673584,0.914217234,1179.839966,637.5639038,0.77763617,1157.411743,692.3852539,0.693228543,1137.501221,704.5583496,0.025996128,743.0464478,214.8623199,0.03501875
55,1134.770508,693.2836914,0.898487389,1179.486206,637.8931885,0.814420223,1156.983643,693.1035156,0.746854663,1137.339478,705.0493164,0.023383547,743.1090088,214.7596436,0.034275573
56,1132.362549,690.9400635,0.903137743,1178.547363,638.112854,0.837487578,1155.277588,693.8478394,0.691385388,1136.510986,704.8292236,0.020706525,743.0877686,214.6839752,0.03383743
57,1130.199463,692.0515747,0.924278736,1178.891479,638.2606812,0.839659393,1152.427856,694.1117554,0.725215852,1136.262085,704.6099243,0.023327114,742.9310303,214.7377625,0.033173084
58,1128.293457,692.3685303,0.930012047,1178.303711,638.4390869,0.835173368,1151.141724,694.3092041,0.687716007,1134.537842,704.5859985,0.021536147,742.8720093,214.9257965,0.033203263
59,1126.460571,693.0321655,0.930680096,1179.049927,638.1434326,0.856443226,1149.79126,694.0458984,0.696504295,1132.918213,704.2962036,0.02445413,742.8712158,214.9950256,0.032812297
60,1124.418213,692.9661255,0.927453458,1178.359985,638.5534668,0.871986628,1147.99353,693.3103027,0.626689613,1123.492188,706.0270996,0.020830451,742.6978149,214.948822,0.030282184
61,1122.436523,693.2175293,0.922850013,1177.490112,638.4720459,0.857451439,1144.387207,693.4360352,0.653612912,1122.987671,705.7982788,0.024833124,742.8919067,214.8563995,0.033681974
62,1120.28186,693.7235107,0.901323795,1176.414795,638.2196045,0.835995495,1143.789307,694.8909912,0.714852929,1121.731323,706.2650146,0.023990802,743.0227051,214.8059692,0.033995651
63,1118.905884,694.55896,0.883358657,1175.682251,638.4614868,0.799362779,1142.895142,694.916687,0.752348542,1121.338257,706.5771484,0.025121849,743.133667,214.6839905,0.035584621
64,1115.168335,693.1893921,0.864530861,1173.954224,639.3605957,0.786276519,1141.683105,695.4103394,0.743387938,1120.742188,707.007019,0.022727409,743.3064575,214.7030792,0.038820516
65,1113.637939,694.27771,0.885667443,1165.581299,637.8939209,0.765282094,1139.611572,695.6442261,0.740175545,1120.382324,707.0670776,0.022128534,743.2797241,214.7669678,0.039736822
66,1112.639893,695.2033691,0.882601738,1164.884277,638.1853638,0.801728487,1138.044434,696.2833252,0.71873951,1119.461182,707.0768433,0.02416149,1242.90918,639.6160889,0.05932606
67,1111.262695,694.9746704,0.887912154,1163.933228,638.255127,0.830152273,1136.624878,696.3339844,0.680588126,1238.75708,641.1040649,0.024161365,1241.758789,640.1671753,0.095420204
68,1110.094971,695.0884399,0.880340874,1163.900146,637.9868164,0.835759103,1135.257202,696.2073975,0.703425705,1117.010498,706.8256836,0.026612826,1241.7229,640.2588501,0.065111272
69,1108.028076,695.4228516,0.899259448,1162.8302,637.1293335,0.851149261,1135.598022,698.2396851,0.682417631,1115.499634,706.4539185,0.025858663,743.3115234,214.6104889,0.036903795
70,1107.076782,695.8583984,0.887916565,1163.116211,636.9580688,0.842256248,1134.718262,698.8247681,0.657669663,1114.881836,706.7728271,0.022537777,743.2523804,214.6686401,0.037641089
71,1105.466431,696.2044067,0.882049024,1162.572998,637.7907715,0.849400938,1133.512817,698.8259888,0.659703851,1114.245972,707.6224365,0.024410022,743.2029419,214.7539368,0.039003193
72,1103.968872,695.4976807,0.877583265,1161.446411,638.2380371,0.867584467,1128.97583,696.6781616,0.66790247,1113.407104,707.093689,0.026193084,742.946106,214.8435211,0.036027431
73,1103.257568,695.8874512,0.877766788,1160.520508,638.5124512,0.865271926,1128.353882,696.8797607,0.694100797,1106.084106,707.5059814,0.027565915,743.1044312,214.7448425,0.03749517
74,1098.424683,698.7634888,0.811426222,1160.575317,638.0987549,0.87357235,1127.404541,697.6412354,0.685793221,1108.115234,708.9269409,0.025555918,743.1783447,214.6472321,0.038881537
75,1098.632202,699.2104492,0.837680519,1159.343872,637.9761963,0.844786584,1125.9021,696.9018555,0.676041067,1104.547729,708.3883057,0.028741792,743.2860107,214.7243195,0.042761117
76,1097.636353,696.3792725,0.852887034,1158.760254,638.87146,0.852934361,1123.660645,701.0065308,0.727377176,1103.502563,708.00177,0.023817783,743.3442383,214.4569855,0.038802337
77,1096.994263,696.4776611,0.86109072,1158.4198,638.6682129,0.823664129,1123.105103,700.5541382,0.750926375,1106.564819,708.5390625,0.021932786,743.4463501,214.4083252,0.041112963
78,1095.827148,699.0369873,0.86462909,1158.167603,639.0101318,0.803789377,1121.848755,701.0387573,0.749079168,1105.946777,708.2832031,0.021252602,743.4289551,214.4171906,0.041120503
79,1094.801758,698.74823,0.872664392,1149.75647,639.3838501,0.790428162,1121.808716,700.5101318,0.74628824,1100.469238,708.7374878,0.023787102,743.3251343,214.4633484,0.04169837
80,1092.845459,697.1226196,0.864530444,1150.08313,639.230835,0.780954719,1119.567261,700.5638428,0.760422051,1099.38208,708.6660156,0.022250282,743.3284912,214.7427521,0.04572605
81,1090.690308,697.6630859,0.874030471,1148.549683,639.6392212,0.809295237,1117.804932,700.5675049,0.721581578,1098.541626,708.3120728,0.023492113,743.2242432,214.630127,0.043008447
82,1089.57251,696.8097534,0.869100451,1147.518311,638.9265137,0.799307227,1117.324463,700.0453491,0.696793437,1098.109009,708.1535645,0.023863237,743.1763916,214.6933441,0.041316953
83,1088.899414,696.6147461,0.861974835,1146.918213,638.984314,0.836529791,1116.94043,699.9250488,0.631448805,1097.554565,707.8475342,0.026326075,743.289856,214.6721191,0.04304621
84,1087.432617,696.355957,0.841007411,1146.380615,639.2470093,0.825939,1112.068481,701.3502808,0.663864076,1090.463867,707.87146,0.025023432,743.3184204,214.7418976,0.04645991
85,1085.571899,697.1142578,0.824564815,1145.826416,639.826416,0.826306581,1110.580444,701.4295044,0.73525697,1089.783691,707.6075439,0.029256683,743.3560181,214.5272369,0.044235304
86,1081.509521,696.0032959,0.835436761,1144.965454,640.1289673,0.842491627,1108.948975,701.8989258,0.740048945,1215.356934,653.4068604,0.044601161,1224.541626,642.7582397,0.053313173
87,1080.290771,696.9291382,0.855747104,1143.852417,640.0083618,0.821567774,1107.715454,701.9869385,0.765645087,1213.659546,654.9778442,0.097425364,1217.723633,651.7045898,0.095028147
88,1079.298218,696.9152832,0.866060913,1142.786865,639.9663086,0.799515545,1106.4375,701.9019165,0.758685112,1210.566528,653.4296875,0.288814515,1217.20874,647.416687,0.301766604
89,1078.316772,697.9814453,0.872450113,1142.699951,640.3843994,0.801390648,1105.840454,701.8530884,0.754563928,1211.526367,653.4556274,0.130680844,1216.481934,650.0251465,0.125570342
90,1077.421631,697.5892334,0.890763998,1141.547852,641.0462646,0.78114599,1104.928467,701.6712646,0.747014582,1211.115601,653.5957031,0.134081885,1216.16626,649.708374,0.132585183
91,1076.458862,697.2331543,0.905757487,1141.810669,641.5129395,0.758826077,1104.331909,700.9906616,0.733214676,1211.224365,654.2154541,0.07618916,1215.288818,650.9188843,0.082348518
92,1075.252808,696.9569092,0.897436202,1141.607666,641.4899292,0.737006485,1103.553467,700.9425049,0.761150241,1088.43396,706.0662231,0.02208901,743.3239136,214.4662628,0.036927961
93,1074.445679,696.7643433,0.900131881,1132.725098,640.7017822,0.75134939,1103.420898,700.3248901,0.734338105,1083.295044,707.034668,0.020113511,743.3440552,214.4881134,0.037189685
94,1073.653931,695.6068115,0.893580139,1131.246826,641.0795288,0.810571909,1102.250488,700.3572388,0.67957896,1082.982666,706.3577881,0.021573331,743.2058716,214.4847107,0.037285503
95,1072.424683,696.0303345,0.886105657,1130.875854,640.5198364,0.817439616,1101.166504,700.7949219,0.633112252,1082.167236,706.6622314,0.025261564,743.3131714,214.5271301,0.039986718
96,1070.404907,695.8522949,0.862672925,1129.341797,641.4725342,0.842770159,1096.611084,698.7384644,0.666093588,1076.984375,708.8911133,0.025954921,743.197937,214.6461792,0.039614361
97,1069.445801,695.81073,0.862891316,1128.983032,641.9053345,0.845060527,1096.038208,699.0611572,0.720843077,1076.53186,708.3187866,0.028128328,743.3334351,214.6140137,0.042415947
98,1066.720703,693.9185181,0.847862363,1128.334106,642.3450928,0.849367023,1095.388306,699.303894,0.725757182,1246.778076,675.737793,0.032292318,1253.502441,672.786499,0.102113716
99,1065.619019,694.8608398,0.88023001,1127.134033,642.564209,0.847989082,1094.076172,698.8487549,0.757170916,1245.938599,676.9196777,0.031450227,1252.841064,678.3079834,0.113574743
100,1064.761841,694.6068115,0.886393487,1125.802246,642.6079102,0.837644458,1092.241455,698.6915283,0.746145368,1075.023804,707.5715942,0.027935946,1252.782471,678.4406128,0.056418218
101,1063.868042,695.2763062,0.895381749,1125.276489,643.1806641,0.806343019,1091.209473,698.5393066,0.746272683,1241.57251,680.7885742,0.044830762,1252.189941,678.7419434,0.150601327
102,1062.301514,694.946228,0.897925794,1125.584473,642.8334961,0.802079916,1089.086548,701.0690918,0.743686855,1241.958374,680.1743774,0.055073176,1253.43335,679.3300171,0.217681035
103,1061.832153,695.1602173,0.907446444,1125.84082,642.6175537,0.795335591,1088.007324,700.8823242,0.74967432,1241.963013,681.0698242,0.030605486,1252.357666,678.8292847,0.118454844
104,1060.564087,694.6751709,0.904212654,1125.479004,643.1050415,0.78117615,1087.143188,700.3869629,0.724065959,1241.516357,682.34375,0.058536924,1252.527954,680.0576172,0.215776041
105,1058.524414,694.5053101,0.898465037,1126.264893,643.2788696,0.765582204,1086.348633,700.8106689,0.699637949,1240.350464,682.9719238,0.122755036,1251.595337,680.9751587,0.427042961
106,1058.093018,694.5511475,0.889932692,1115.660156,641.7315674,0.804335594,1085.760986,700.7498169,0.672308028,1239.904419,682.4904175,0.23005034,1251.08606,680.4714966,0.622291267
107,1056.624023,694.1568604,0.875260413,1115.653809,642.6161499,0.814692438,1085.037354,700.7425537,0.63776803,1237.474487,683.7075806,0.259705663,1249.297729,680.9785767,0.62834233
108,1054.93396,693.1258545,0.857566059,1115.078979,643.0721436,0.832879722,1079.9375,697.317627,0.653692842,1236.772705,685.0147095,0.255539238,1248.758789,682.0534668,0.581413865
109,1053.378418,693.9215088,0.843503952,1116.14502,642.2641602,0.814037859,1078.690308,697.4268188,0.697935522,1235.963745,686.6109009,0.361050993,1249.197144,682.8599243,0.615304291
110,1051.329102,692.9976196,0.846680462,1116.702271,642.088562,0.828057706,1078.159912,697.494812,0.720223367,1236.081909,687.4946899,0.332833499,1248.431763,686.3032227,0.576462805
111,1050.913452,693.6700439,0.867106974,1117.200439,642.1380615,0.809079885,1077.335205,697.5586548,0.738856256,1235.954712,687.6116333,0.298612535,1248.192627,686.2678223,0.53627187
112,1049.921997,693.513916,0.875706851,1116.802002,642.7746582,0.784398019,1076.566528,697.7175903,0.73262614,1234.075073,687.5028687,0.260155797,1247.279907,686.8456421,0.525035739
113,1049.090088,693.2133789,0.892141819,1116.67749,642.6992188,0.802788913,1075.937256,697.2661743,0.747401893,1232.86853,688.2814941,0.45177871,1246.314819,687.3670654,0.646273136
114,1047.924316,692.8369141,0.900355041,1116.568237,643.3397217,0.787085235,1075.074951,697.3015747,0.740063965,1233.95752,688.1226807,0.490558952,1246.550293,687.7302856,0.691257298
115,1047.094238,693.331543,0.898181438,1116.744629,643.1533813,0.772948205,1074.50293,697.7077026,0.740675926,1233.657837,689.3331909,0.518728614,1245.851318,688.6912231,0.720955312
116,1046.571411,693.9144897,0.895475566,1115.471191,643.6251221,0.77612263,1072.139771,700.8724976,0.734394193,1233.192871,689.5718994,0.480270147,1245.019897,689.5456543,0.60692817
117,1045.931152,693.8626099,0.901377678,1114.66272,644.1727295,0.725767016,1071.783569,700.8016968,0.702371478,1231.979492,690.5134888,0.586707294,1244.021362,689.3074341,0.65880847
118,1044.487305,693.5508423,0.88757199,1113.937378,644.2646484,0.736028492,1071.185913,700.7255249,0.70980376,1231.6698,691.1359863,0.550161362,1242.948975,690.039917,0.621290386
119,1043.717896,694.1383057,0.885119438,1114.71106,644.1860352,0.710670471,1070.513184,701.2179565,0.664885461,1230.338501,691.9611816,0.544955671,1241.623413,691.4962769,0.575215995
120,1042.168945,694.6793823,0.876277745,1113.138184,644.1224976,0.726672471,1070.126221,700.8410645,0.674049139,1229.47168,692.0655518,0.449421078,1242.30127,692.0740356,0.514196694
121,1040.693726,694.3408203,0.874438584,1114.445435,643.5529785,0.747331381,1069.948608,700.6374512,0.636495471,1229.139038,692.229187,0.572483063,1241.993408,693.0996094,0.633387983
122,1039.711792,694.1985474,0.857365847,1114.500366,643.8500366,0.754532933,1065.209961,698.5028076,0.648555934,1229.388184,692.5202026,0.569755077,1242.175049,693.5859985,0.650829434
123,1038.954224,694.1846313,0.85097909,1114.095825,643.9898071,0.753927469,1064.308838,698.0617676,0.664099157,1228.832642,693.3051758,0.60647577,1242.492432,693.4938965,0.681721628
124,1038.263306,693.5393677,0.832866907,1113.752686,644.3799438,0.77036643,1063.838623,698.5441284,0.684990287,1228.209839,694.1604004,0.543151736,1241.364014,694.1932983,0.706306815
125,1037.307617,693.7941895,0.828420162,1113.826782,643.5970459,0.75462693,1063.22168,698.4835205,0.702150226,1227.577759,695.4945068,0.560294509,1240.798096,694.465332,0.758854568
126,1035.213623,691.8794556,0.84471035,1114.436035,644.0267334,0.777132273,1063.255371,698.3666992,0.720729589,1226.9646,695.9202271,0.559216201,1240.164551,694.8064575,0.75687772
127,1034.925781,691.6810913,0.848496675,1114.885498,643.9514771,0.775252998,1062.952148,698.0283813,0.739003956,1226.585938,696.4215698,0.624293566,1240.10144,694.9030151,0.790983796
