scorer,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010,DLC_Resnet101_multipointsFeb7shuffle1_snapshot_010
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5,bodypart6,bodypart6,bodypart6,bodypart7,bodypart7,bodypart7,bodypart8,bodypart8,bodypart8,bodypart9,bodypart9,bodypart9,bodypart10,bodypart10,bodypart10,bodypart11,bodypart11,bodypart11,bodypart12,bodypart12,bodypart12,bodypart13,bodypart13,bodypart13,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16,object17,object17,object17,object18,object18,object18,object19,object19,object19
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,897.837,660.6454,0.4414284,909.30316,635.3932,0.53442734,934.3837,617.24097,0.5679009,980.82135,617.60895,0.41375583,1015.7834,623.2777,0.75016457,1048.3071,660.0593,0.8145222,1075.5984,665.8695,0.8866634,1100.615,655.51807,0.7570488,1083.5503,705.3805,0.7639552,1068.8909,685.8856,0.8486982,1039.7574,676.2251,0.86662364,931.8095,674.69403,0.520646,913.39954,669.80994,0.59400386,931.5532,646.7883,0.48379844,1056.8198,673.575,0.8321023,1072.8016,678.37744,0.937415,861.7988,738.0066,0.15877819,1390.1881,716.3735,0.24526158,865.0426,192.16753,0.27759773
1,897.5561,660.6771,0.45684326,908.9838,635.5991,0.5254687,934.11584,617.46564,0.56419665,981.1082,617.6838,0.392925,1016.1922,622.9338,0.7533986,1047.9642,659.7206,0.80304825,1075.6107,665.8576,0.88143694,1101.1707,654.9217,0.75498784,1083.7188,705.4724,0.755234,1068.9058,686.1076,0.8522158,1039.2397,676.281,0.86857176,931.42896,674.88544,0.5113692,913.37335,669.97235,0.59171337,931.35443,646.99615,0.4828314,1055.9393,671.9025,0.8318701,1072.8872,678.434,0.9428379,861.65985,737.4303,0.15294993,1390.423,716.4525,0.24725993,865.3409,191.1908,0.2888047
2,897.7644,660.7515,0.44856226,908.89056,635.58496,0.52251345,934.2876,617.1825,0.56932044,981.1281,617.65875,0.39841434,1016.7239,622.989,0.7583272,1048.0339,659.329,0.80041945,1075.5107,665.3491,0.8442227,1100.5537,654.6063,0.74082446,1084.836,704.0411,0.7376761,1069.1112,685.6058,0.8434814,1039.3499,675.8179,0.86883914,931.45306,674.9225,0.51035964,913.3279,669.9234,0.5743065,931.26404,647.03094,0.4813571,1055.8024,671.339,0.8344545,1073.0808,677.9461,0.9401225,861.75916,737.6035,0.1545641,1390.5852,716.83734,0.23147348,865.20105,191.7186,0.28875932
3,898.1159,660.86066,0.43699837,909.3208,635.30444,0.54001987,934.67163,617.03876,0.57675505,981.5816,617.5419,0.39386687,1016.96924,623.08673,0.7564416,1047.47,659.05676,0.785384,1075.1467,664.91815,0.8546653,1100.7128,654.22504,0.7309069,1084.4772,704.0144,0.73724693,1068.691,685.6463,0.8639178,1038.8634,675.7083,0.8638314,931.3304,675.1529,0.493826,913.9145,670.02704,0.5864107,932.1013,646.7436,0.488517,1055.4434,671.16833,0.84897554,1072.7693,677.76215,0.9312992,861.8472,737.58405,0.15373623,1390.2043,716.4774,0.23250656,865.36456,191.69751,0.29638803
4,898.2619,660.66406,0.44560784,909.4408,635.146,0.57029957,934.90985,616.6507,0.58125186,982.02795,617.3955,0.36957946,1017.6647,623.22955,0.73478854,1047.4031,659.1424,0.7858991,1074.8822,664.6172,0.852245,1100.2915,653.92456,0.72906786,1084.4293,703.53326,0.75328505,1068.7192,685.34436,0.8511965,1038.6995,675.51276,0.8592142,931.7726,674.8271,0.48127717,914.5166,670.00385,0.5951427,932.4885,646.49725,0.47708976,1055.151,671.0264,0.8536329,1072.7035,677.3652,0.9300468,861.85205,737.7991,0.15656053,1389.5175,716.35077,0.24604613,865.5948,192.89464,0.28798217
5,898.22833,660.597,0.44774556,909.4179,635.1587,0.57256573,934.8133,616.81067,0.5770021,982.34656,617.3294,0.36295402,1018.0109,623.2865,0.7338619,1047.5385,658.80457,0.7655201,1075.115,664.5885,0.8307606,1102.2604,652.43176,0.7513363,1084.6486,703.00836,0.7556218,1069.1873,685.0136,0.84429634,1038.9825,675.4503,0.8657955,931.71594,674.88086,0.48170123,914.49036,669.9691,0.59530014,932.4809,646.5075,0.4769685,1055.191,670.83496,0.83268845,1072.958,677.1093,0.9282031,862.03217,738.1621,0.16370142,1389.6663,716.3287,0.24555853,865.7173,192.37173,0.29516292
6,898.14813,660.579,0.4488717,909.435,635.10724,0.5743408,934.9178,616.47675,0.5832728,981.839,613.9342,0.37820923,1018.41974,623.2693,0.7363386,1047.6255,658.7278,0.78495777,1075.0187,664.10004,0.8391441,1101.6029,652.15845,0.75356644,1084.2235,702.4837,0.74868387,1069.194,684.62915,0.86122924,1039.1244,675.3228,0.8860531,931.7075,674.99304,0.48506716,914.5118,669.9484,0.5984947,932.52167,646.4104,0.47496542,1055.1884,670.70074,0.86145055,1072.7926,676.7192,0.93269795,861.8449,737.5922,0.15810569,1389.5338,716.5658,0.24078451,865.9677,192.34741,0.2894042
7,898.0489,660.4704,0.4521597,909.03986,635.31775,0.56292933,934.523,616.7667,0.5751684,982.0995,614.00653,0.37286907,1018.1902,623.35803,0.7494144,1047.4192,658.3757,0.77049494,1074.8474,663.79565,0.82379824,1101.4727,652.0653,0.7696531,1084.8617,702.0906,0.7634818,1069.3196,684.6759,0.8434052,1038.6664,675.2764,0.8744919,931.5335,675.3934,0.4953899,914.3684,669.93036,0.6076097,932.30896,646.46796,0.47829992,1055.0444,670.4444,0.85355544,1073.0059,676.474,0.934911,861.8072,737.38727,0.15839207,1389.9775,716.3079,0.23301433,865.76483,192.3837,0.28739637
