Unnamed: 0,bodypart2_x,bodypart2_y,bodypart2_p,bodypart4_x,bodypart4_y,bodypart4_p,bodypart14_x,bodypart14_y,bodypart14_p,bodypart15_x,bodypart15_y,bodypart15_p,bodypart16_x,bodypart16_y,bodypart16_p,Fish_mid_x,Fish_mid_y,Fish_mid_p
146,1020.27,690.96173,0.8629438,1097.4047,645.24146,0.7677069,1045.9758,697.19696,0.75592107,1213.5371,702.0427,0.4773968,1226.4038,703.3493,0.6601339,1134.4135,697.69385,
147,1019.96027,691.3991,0.8694993,1097.8201,644.91016,0.7584202,1045.4192,697.15076,0.7650153,1213.3782,702.64716,0.49600524,1225.2948,703.4811,0.6952469,1135.7892,698.18256,
148,1018.61017,691.9504,0.8730867,1097.4004,645.1383,0.7761087,1044.2609,697.5614,0.77710825,1214.0255,699.97034,0.44270495,1224.4214,702.54584,0.7064561,1133.2885,697.40753,
149,1017.8139,692.11444,0.88555485,1096.6459,644.9387,0.7809903,1043.6211,698.11426,0.7767004,1213.5195,698.898,0.44379464,1224.0684,702.1375,0.7158289,1132.4719,697.0946,
150,1016.5687,692.7339,0.886432,1095.8778,645.74207,0.7767617,1042.7279,698.60657,0.7739805,1212.144,699.068,0.36633557,1222.9069,701.8088,0.6718428,1125.8236,697.1074,
151,1015.8742,692.76227,0.88376826,1097.1549,645.87354,0.77272385,1041.339,697.8449,0.77873576,1212.7234,698.0389,0.4185526,1222.8604,701.62805,0.63937515,1126.465,696.8191,
152,1015.7098,693.74036,0.88261175,1096.08,646.31885,0.7349673,1040.6305,698.356,0.7592618,1211.9338,698.1812,0.43996248,1222.2479,701.0546,0.66657877,1128.3231,697.17365,
153,1014.95404,694.0967,0.8900654,1094.4452,645.71564,0.7347848,1040.6753,698.304,0.74413466,1211.4044,697.3698,0.47568813,1223.9181,696.5904,0.7061831,1131.2781,695.69806,
154,1013.1343,693.9158,0.89721686,1083.7489,645.2017,0.7190449,1040.024,698.3267,0.7433663,1210.5962,697.0629,0.45151725,1222.7595,695.513,0.7447709,1130.2968,695.1628,
155,1012.3249,694.06274,0.8966269,1082.9702,646.0838,0.7250961,1039.5587,698.2097,0.7247547,1210.5139,696.8679,0.4734484,1222.7672,695.1719,0.7806708,1132.3384,695.0828,
156,1011.8924,693.94336,0.88029385,1082.4423,646.6548,0.7308251,1038.2609,697.6807,0.6790144,1210.1276,696.2722,0.56410056,1221.3511,694.06775,0.8241368,1137.2806,694.5676,
157,1010.71344,693.9278,0.88458693,1081.1069,646.46954,0.73407054,1037.7996,697.6028,0.6660461,1208.8682,696.86285,0.5941853,1220.7642,694.3411,0.8506447,1137.9637,694.8274,
158,1009.4645,693.5253,0.87674713,1080.9835,646.35297,0.76979405,1036.6982,697.1686,0.6688107,1208.1571,696.7545,0.618427,1220.324,694.1144,0.8631768,1138.7438,694.5877,
159,1007.9497,693.23083,0.8750708,1080.6924,646.18866,0.7712806,1032.8337,697.79767,0.6491433,1207.4962,696.5027,0.6012404,1219.0846,693.64276,0.88286865,1137.8168,694.2188,
160,1007.7268,693.01526,0.8700427,1080.9695,646.0452,0.7556863,1032.2269,698.1556,0.66140145,1206.7761,696.253,0.54349154,1217.8644,693.11053,0.87467206,1135.3303,693.8207,
161,1006.4207,692.564,0.85779685,1080.3406,646.746,0.75178933,1031.7347,698.14215,0.7146779,1205.9792,696.72614,0.491238,1217.2777,693.52423,0.85906297,1132.8508,693.8635,
162,1005.59485,693.0024,0.8399037,1081.388,646.2844,0.7561094,1031.6389,697.9616,0.73577464,1205.0376,696.35016,0.5169425,1216.7755,693.1847,0.8777336,1134.6843,693.84845,
163,1004.26886,691.8214,0.85563684,1081.3702,645.5467,0.80738026,1031.341,697.13116,0.7523438,1204.9474,696.6858,0.5002204,1216.7646,693.1336,0.8811776,1132.8453,693.426,
164,1003.6307,691.9824,0.8665334,1080.8826,645.6441,0.8287326,1030.5677,697.563,0.75171185,1202.7506,698.4935,0.48383504,1215.1407,692.6414,0.85877466,1129.4625,693.6646,
